function,description
EC:2.4.1.320,"1,4-beta-mannosyl-N-acetylglucosamine phosphorylase"
EC:2.4.1.321,Cellobionic acid phosphorylase
EC:2.4.1.325,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
EC:2.4.1.327,Aclacinomycin-T 2-deoxy-L-fucose transferase
EC:2.4.1.37,Fucosylgalactoside 3-alpha-galactosyltransferase
EC:2.4.1.4,Amylosucrase
EC:2.4.1.40,Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
EC:2.4.1.44,Lipopolysaccharide 3-alpha-galactosyltransferase
EC:2.4.1.46,Monogalactosyldiacylglycerol synthase
EC:2.4.1.5,Dextransucrase
EC:2.4.1.52,Poly(glycerol-phosphate) alpha-glucosyltransferase
EC:2.4.1.56,Lipopolysaccharide N-acetylglucosaminyltransferase
EC:2.4.1.57,Phosphatidylinositol alpha-mannosyltransferase
EC:2.4.1.58,Lipopolysaccharide glucosyltransferase I
EC:2.4.1.60,Abequosyltransferase
EC:2.4.1.64,"Alpha,alpha-trehalose phosphorylase"
EC:2.4.1.7,Sucrose phosphorylase
EC:2.4.1.8,Maltose phosphorylase
EC:2.4.1.80,Ceramide glucosyltransferase
EC:2.4.1.83,Dolichyl-phosphate beta-D-mannosyltransferase
EC:2.4.1.87,N-acetyllactosaminide 3-alpha-galactosyltransferase
EC:2.4.2.1,Purine-nucleoside phosphorylase
EC:2.4.2.10,Orotate phosphoribosyltransferase
EC:2.4.2.12,Nicotinamide phosphoribosyltransferase
EC:2.4.2.14,Amidophosphoribosyltransferase
EC:2.4.2.17,ATP phosphoribosyltransferase
EC:2.4.2.18,Anthranilate phosphoribosyltransferase
EC:2.4.2.19,Nicotinate-nucleotide diphosphorylase (carboxylating)
EC:2.4.2.2,Pyrimidine-nucleoside phosphorylase
EC:2.4.2.21,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
EC:2.4.2.22,Xanthine phosphoribosyltransferase
EC:2.4.2.28,S-methyl-5'-thioadenosine phosphorylase
EC:2.4.2.29,tRNA-guanine(34) transglycosylase
EC:2.4.2.3,Uridine phosphorylase
EC:2.4.2.30,NAD(+) ADP-ribosyltransferase
EC:2.4.2.36,NAD(+)--diphthamide ADP-ribosyltransferase
EC:2.4.2.37,NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase
EC:2.4.2.4,Thymidine phosphorylase
EC:2.4.2.43,Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase
EC:2.4.2.44,S-methyl-5'-thioinosine phosphorylase
EC:2.4.2.45,Decaprenyl-phosphate phosphoribosyltransferase
EC:2.4.2.46,Galactan 5-O-arabinofuranosyltransferase
EC:2.4.2.47,Arabinofuranan 3-O-arabinosyltransferase
EC:2.4.2.48,tRNA-guanine(15) transglycosylase
EC:2.4.2.52,Triphosphoribosyl-dephospho-CoA synthase
EC:2.4.2.53,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EC:2.4.2.54,Beta-ribofuranosylhydroxybenzene 5'-phosphate synthase
EC:2.4.2.57,AMP phosphorylase
EC:2.4.2.6,Nucleoside deoxyribosyltransferase
EC:2.4.2.7,Adenine phosphoribosyltransferase
EC:2.4.2.8,Hypoxanthine phosphoribosyltransferase
EC:2.4.2.9,Uracil phosphoribosyltransferase
EC:2.4.99.12,Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
EC:2.4.99.13,(Kdo)-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
EC:2.4.99.14,(Kdo)(2)-lipid IV(A) (2-8) 3-deoxy-D-manno-octulosonic acid transferase
EC:2.4.99.15,(Kdo)(3)-lipid IV(A) (2-4) 3-deoxy-D-manno-octulosonic acid transferase
EC:2.4.99.16,Starch synthase (maltosyl-transferring)
EC:2.4.99.17,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
EC:2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase
EC:2.4.99.19,Undecaprenyl-diphosphooligosaccharide--protein glycotransferase
EC:2.5.1.1,Dimethylallyltranstransferase
EC:2.5.1.10,"(2E,6E)-farnesyl diphosphate synthase"
EC:2.5.1.101,"N,N'-diacetyllegionaminate synthase"
EC:2.5.1.105,5'-phosphate synthase
EC:2.5.1.108,2-(3-amino-3-carboxypropyl)histidine synthase
EC:2.5.1.114,tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase
EC:2.5.1.115,Homogentisate phytyltransferase
EC:2.5.1.116,Homogentisate geranylgeranyltransferase
EC:2.5.1.120,Aminodeoxyfutalosine synthase
EC:2.5.1.15,Dihydropteroate synthase
EC:2.5.1.16,Spermidine synthase
EC:2.5.1.17,"Cob(I)yrinic acid a,c-diamide adenosyltransferase"
EC:2.5.1.18,Glutathione transferase
EC:2.5.1.19,3-phosphoshikimate 1-carboxyvinyltransferase
EC:2.5.1.2,Thiamine pyridinylase
EC:2.5.1.21,Squalene synthase
EC:2.5.1.22,Spermine synthase
EC:2.5.1.26,Alkylglycerone-phosphate synthase
EC:2.5.1.29,Geranylgeranyl diphosphate synthase
EC:2.5.1.3,Thiamine-phosphate diphosphorylase
EC:2.5.1.30,Heptaprenyl diphosphate synthase
EC:2.5.1.31,diphosphate specific)
EC:2.5.1.32,15-cis-phytoene synthase
EC:2.5.1.39,4-hydroxybenzoate polyprenyltransferase
EC:2.5.1.41,Phosphoglycerol geranylgeranyltransferase
EC:2.5.1.42,Geranylgeranylglycerol-phosphate geranylgeranyltransferase
EC:2.5.1.44,Homospermidine synthase
EC:2.5.1.46,Deoxyhypusine synthase
EC:2.5.1.47,Cysteine synthase
EC:2.5.1.48,Cystathionine gamma-synthase
EC:2.5.1.49,O-acetylhomoserine aminocarboxypropyltransferase
EC:2.5.1.54,3-deoxy-7-phosphoheptulonate synthase
EC:2.5.1.55,3-deoxy-8-phosphooctulonate synthase
EC:2.5.1.56,N-acetylneuraminate synthase
EC:2.5.1.57,N-acylneuraminate-9-phosphate synthase
EC:2.5.1.6,Methionine adenosyltransferase
EC:2.5.1.60,Protein geranylgeranyltransferase type II
EC:2.5.1.61,Hydroxymethylbilane synthase
EC:2.5.1.62,Chlorophyll synthase
EC:2.5.1.66,N(2)-(2-carboxyethyl)arginine synthase
EC:2.5.1.68,"(2Z,6E)-farnesyl diphosphate synthase"
EC:2.5.1.7,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EC:2.5.1.72,Quinolinate synthase
EC:2.5.1.73,O-phospho-L-seryl-tRNA:Cys-tRNA synthase
EC:2.5.1.74,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
EC:2.5.1.75,tRNA dimethylallyltransferase
EC:2.5.1.76,Cysteate synthase
EC:2.5.1.77,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase"
EC:2.5.1.78,"6,7-dimethyl-8-ribityllumazine synthase"
EC:2.5.1.84,All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
EC:2.5.1.85,specific)
EC:2.5.1.86,"Trans,polycis-decaprenyl diphosphate synthase"
EC:2.5.1.89,diphosphate specific)
EC:2.5.1.9,Riboflavin synthase
EC:2.5.1.90,All-trans-octaprenyl-diphosphate synthase
EC:2.5.1.96,"4,4'-diapophytoene synthase"
EC:2.5.1.97,Pseudaminic acid synthase
EC:2.6.1.1,Aspartate transaminase
EC:2.6.1.102,GDP-perosamine synthase
EC:2.6.1.103,"(S)-3,5-dihydroxyphenylglycine transaminase"
EC:2.6.1.104,3-dehydro-glucose-6-phosphate--glutamate transaminase
EC:2.6.1.105,Lysine--8-amino-7-oxononanoate transaminase
EC:2.6.1.109,"8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase"
EC:2.6.1.11,Acetylornithine transaminase
EC:2.6.1.13,Ornithine aminotransferase
EC:2.6.1.16,Glutamine--fructose-6-phosphate transaminase (isomerizing)
EC:2.6.1.17,Succinyldiaminopimelate transaminase
EC:2.6.1.18,Beta-alanine--pyruvate transaminase
EC:2.6.1.19,4-aminobutyrate--2-oxoglutarate transaminase
EC:2.6.1.2,Alanine transaminase
EC:2.6.1.21,D-amino-acid transaminase
EC:2.6.1.22,(S)-3-amino-2-methylpropionate transaminase
EC:2.6.1.30,Pyridoxamine--pyruvate transaminase
EC:2.6.1.34,UDP-N-acetylbacillosamine transaminase
EC:2.6.1.36,L-lysine 6-transaminase
EC:2.6.1.37,2-aminoethylphosphonate--pyruvate transaminase
EC:2.6.1.40,(R)-3-amino-2-methylpropionate--pyruvate transaminase
EC:2.6.1.42,Branched-chain-amino-acid transaminase
EC:2.6.1.44,Alanine--glyoxylate transaminase
EC:2.6.1.45,Serine--glyoxylate transaminase
EC:2.6.1.46,Diaminobutyrate--pyruvate transaminase
EC:2.6.1.48,5-aminovalerate transaminase
EC:2.6.1.51,Serine--pyruvate transaminase
EC:2.6.1.52,Phosphoserine transaminase
EC:2.6.1.55,Taurine--2-oxoglutarate transaminase
EC:2.6.1.57,Aromatic-amino-acid transaminase
EC:2.6.1.59,"dTDP-4-amino-4,6-dideoxygalactose transaminase"
EC:2.6.1.62,Adenosylmethionine--8-amino-7-oxononanoate transaminase
EC:2.6.1.64,Glutamine--phenylpyruvate transaminase
EC:2.6.1.66,Valine--pyruvate transaminase
EC:2.6.1.7,Kynurenine--oxoglutarate transaminase
EC:2.6.1.76,Diaminobutyrate--2-oxoglutarate transaminase
EC:2.6.1.77,Taurine--pyruvate aminotransferase
EC:2.6.1.78,Aspartate--prephenate aminotransferase
EC:2.6.1.79,Glutamate--prephenate aminotransferase
EC:2.6.1.81,Succinylornithine transaminase
EC:2.6.1.82,Putrescine aminotransferase
EC:2.6.1.83,LL-diaminopimelate aminotransferase
EC:2.6.1.84,Arginine--pyruvate transaminase
EC:2.6.1.85,Aminodeoxychorismate synthase
EC:2.6.1.86,2-amino-4-deoxychorismate synthase
EC:2.6.1.87,UDP-4-amino-4-deoxy-L-arabinose aminotransferase
EC:2.6.1.9,Histidinol-phosphate transaminase
EC:2.6.1.92,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase"
EC:2.6.1.96,4-aminobutyrate--pyruvate transaminase
EC:2.6.1.97,Archaeosine synthase
EC:2.6.1.98,UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase
EC:2.6.99.2,Pyridoxine 5'-phosphate synthase
EC:2.6.99.3,O-ureido-L-serine synthase
EC:2.7.1.1,Hexokinase
EC:2.7.1.100,S-methyl-5-thioribose kinase
EC:2.7.1.107,Diacylglycerol kinase (ATP)
EC:2.7.1.11,6-phosphofructokinase
EC:2.7.1.113,Deoxyguanosine kinase
EC:2.7.1.119,Hygromycin-B 7''-O-kinase
EC:2.7.1.12,Gluconokinase
EC:2.7.1.13,Dehydrogluconokinase
EC:2.7.1.130,Tetraacyldisaccharide 4'-kinase
EC:2.7.1.14,Sedoheptulokinase
EC:2.7.1.144,Tagatose-6-phosphate kinase
EC:2.7.1.146,ADP-specific phosphofructokinase
EC:2.7.1.147,ADP-specific glucokinase
EC:2.7.1.148,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
EC:2.7.1.15,Ribokinase
EC:2.7.1.156,Adenosylcobinamide kinase
EC:2.7.1.16,Ribulokinase
EC:2.7.1.161,CTP-dependent riboflavin kinase
EC:2.7.1.162,N-acetylhexosamine 1-kinase
EC:2.7.1.163,Hygromycin B 4-O-kinase
EC:2.7.1.165,Glycerate 2-kinase
EC:2.7.1.166,3-deoxy-D-manno-octulosonic acid kinase
EC:2.7.1.167,D-glycero-beta-D-manno-heptose-7-phosphate kinase
EC:2.7.1.168,D-glycero-alpha-D-manno-heptose-7-phosphate kinase
EC:2.7.1.169,Pantoate kinase
EC:2.7.1.17,Xylulokinase
EC:2.7.1.170,Anhydro-N-acetylmuramic acid kinase
EC:2.7.1.174,Diacylglycerol kinase (CTP)
EC:2.7.1.175,Maltokinase
EC:2.7.1.176,UDP-N-acetylglucosamine kinase
EC:2.7.1.177,L-threonine kinase
EC:2.7.1.181,"Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase"
EC:2.7.1.182,Phytol kinase
EC:2.7.1.184,Sulfofructose kinase
EC:2.7.1.19,Phosphoribulokinase
EC:2.7.1.2,Glucokinase
EC:2.7.1.20,Adenosine kinase
EC:2.7.1.21,Thymidine kinase
EC:2.7.1.22,Ribosylnicotinamide kinase
EC:2.7.1.23,NAD(+) kinase
EC:2.7.1.24,Dephospho-CoA kinase
EC:2.7.1.25,Adenylyl-sulfate kinase
EC:2.7.1.26,Riboflavin kinase
EC:2.7.1.27,Erythritol kinase
EC:2.7.1.29,Glycerone kinase
EC:2.7.1.3,Ketohexokinase
EC:2.7.1.30,Glycerol kinase
EC:2.7.1.31,Glycerate 3-kinase
EC:2.7.1.33,Pantothenate kinase
EC:2.7.1.35,Pyridoxal kinase
EC:2.7.1.36,Mevalonate kinase
EC:2.7.1.37,2.7.11.30 and 2.7.12.1
EC:2.7.1.39,Homoserine kinase
EC:2.7.1.4,Fructokinase
EC:2.7.1.40,Pyruvate kinase
EC:2.7.1.43,Glucuronokinase
EC:2.7.1.44,Galacturonokinase
EC:2.7.1.45,2-dehydro-3-deoxygluconokinase
EC:2.7.1.47,D-ribulokinase
EC:2.7.1.48,Uridine kinase
EC:2.7.1.49,Hydroxymethylpyrimidine kinase
EC:2.7.1.5,Rhamnulokinase
EC:2.7.1.50,Hydroxyethylthiazole kinase
EC:2.7.1.51,L-fuculokinase
EC:2.7.1.52,Fucokinase
EC:2.7.1.53,L-xylulokinase
EC:2.7.1.55,Allose kinase
EC:2.7.1.56,1-phosphofructokinase
EC:2.7.1.58,2-dehydro-3-deoxygalactonokinase
EC:2.7.1.59,N-acetylglucosamine kinase
EC:2.7.1.6,Galactokinase
EC:2.7.1.60,N-acylmannosamine kinase
EC:2.7.1.63,Polyphosphate--glucose phosphotransferase
EC:2.7.1.66,Undecaprenol kinase
EC:2.7.1.68,1-phosphatidylinositol-4-phosphate 5-kinase
EC:2.7.1.69,Protein-N(pi)-phosphohistidine--sugar phosphotransferase
EC:2.7.1.71,Shikimate kinase
EC:2.7.1.72,Streptomycin 6-kinase
EC:2.7.1.73,Inosine kinase
EC:2.7.1.74,Deoxycytidine kinase
EC:2.7.1.76,Deoxyadenosine kinase
EC:2.7.1.8,Glucosamine kinase
EC:2.7.1.83,Pseudouridine kinase
EC:2.7.1.85,Beta-glucoside kinase
EC:2.7.1.87,Streptomycin 3''-kinase
EC:2.7.1.89,Thiamine kinase
EC:2.7.1.90,Diphosphate--fructose-6-phosphate 1-phosphotransferase
EC:2.7.1.92,5-dehydro-2-deoxygluconokinase
EC:2.7.1.95,Kanamycin kinase
EC:2.7.10.1,Receptor protein-tyrosine kinase
EC:2.7.10.2,Non-specific protein-tyrosine kinase
EC:2.7.11.1,Non-specific serine/threonine protein kinase
EC:2.7.11.17,Calcium/calmodulin-dependent protein kinase
EC:2.7.11.5,[Isocitrate dehydrogenase (NADP(+))] kinase
EC:2.7.13.1,Protein-histidine pros-kinase
EC:2.7.13.3,Histidine kinase
EC:2.7.14.1,Protein arginine kinase
EC:2.7.2.1,Acetate kinase
EC:2.7.2.11,Glutamate 5-kinase
EC:2.7.2.15,Propionate kinase
EC:2.7.2.2,Carbamate kinase
EC:2.7.2.3,Phosphoglycerate kinase
EC:2.7.2.4,Aspartate kinase
EC:2.7.2.7,Butyrate kinase
EC:2.7.2.8,Acetylglutamate kinase
EC:2.7.3.9,Phosphoenolpyruvate--protein phosphotransferase
EC:2.7.4.1,Polyphosphate kinase
EC:2.7.4.14,UMP/CMP kinase
EC:2.7.4.16,Thiamine-phosphate kinase
EC:2.7.4.2,Phosphomevalonate kinase
EC:2.7.4.22,UMP kinase
EC:2.7.4.23,"Ribose 1,5-bisphosphate phosphokinase"
EC:2.7.4.26,Isopentenyl phosphate kinase
EC:2.7.4.3,Adenylate kinase
EC:2.7.4.6,Nucleoside-diphosphate kinase
EC:2.7.4.7,Phosphomethylpyrimidine kinase
EC:2.7.4.8,Guanylate kinase
EC:2.7.4.9,dTMP kinase
EC:2.7.6.1,Ribose-phosphate diphosphokinase
EC:2.7.6.2,Thiamine diphosphokinase
EC:2.7.6.3,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
EC:2.7.6.5,GTP diphosphokinase
EC:2.7.7.1,Nicotinamide-nucleotide adenylyltransferase
EC:2.7.7.12,UDP-glucose--hexose-1-phosphate uridylyltransferase
EC:2.7.7.13,Mannose-1-phosphate guanylyltransferase
EC:2.7.7.15,Choline-phosphate cytidylyltransferase
EC:2.7.7.18,Nicotinate-nucleotide adenylyltransferase
EC:2.7.7.19,Polynucleotide adenylyltransferase
EC:2.7.7.2,FAD synthetase
EC:2.7.7.23,UDP-N-acetylglucosamine diphosphorylase
EC:2.7.7.24,Glucose-1-phosphate thymidylyltransferase
EC:2.7.7.27,Glucose-1-phosphate adenylyltransferase
EC:2.7.7.3,Pantetheine-phosphate adenylyltransferase
EC:2.7.7.33,Glucose-1-phosphate cytidylyltransferase
EC:2.7.7.38,3-deoxy-manno-octulosonate cytidylyltransferase
EC:2.7.7.39,Glycerol-3-phosphate cytidylyltransferase
EC:2.7.7.4,Sulfate adenylyltransferase
EC:2.7.7.41,Phosphatidate cytidylyltransferase
EC:2.7.7.42,[Glutamate--ammonia-ligase] adenylyltransferase
EC:2.7.7.43,N-acylneuraminate cytidylyltransferase
EC:2.7.7.46,Gentamicin 2''-nucleotidyltransferase
EC:2.7.7.47,Streptomycin 3''-adenylyltransferase
EC:2.7.7.49,RNA-directed DNA polymerase
EC:2.7.7.53,ATP adenylyltransferase
EC:2.7.7.56,tRNA nucleotidyltransferase
EC:2.7.7.58,"(2,3-dihydroxybenzoyl)adenylate synthase"
EC:2.7.7.59,[Protein-PII] uridylyltransferase
EC:2.7.7.6,DNA-directed RNA polymerase
EC:2.7.7.60,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
EC:2.7.7.61,Citrate lyase holo-[acyl-carrier protein] synthase
EC:2.7.7.62,Adenosylcobinamide-phosphate guanylyltransferase
EC:2.7.7.63,Lipoate--protein ligase
EC:2.7.7.65,Diguanylate cyclase
EC:2.7.7.66,Malonate decarboxylase holo-[acyl-carrier protein] synthase
EC:2.7.7.67,"CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase"
EC:2.7.7.68,2-phospho-L-lactate guanylyltransferase
EC:2.7.7.7,DNA-directed DNA polymerase
EC:2.7.7.70,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase
EC:2.7.7.71,D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
EC:2.7.7.72,CCA tRNA nucleotidyltransferase
EC:2.7.7.73,Sulfur carrier protein ThiS adenylyltransferase
EC:2.7.7.74,1L-myo-inositol 1-phosphate cytidylyltransferase
EC:2.7.7.75,Molybdopterin adenylyltransferase
EC:2.7.7.76,Molybdenum cofactor cytidylyltransferase
EC:2.7.7.77,Molybdenum cofactor guanylyltransferase
EC:2.7.7.8,Polyribonucleotide nucleotidyltransferase
EC:2.7.7.81,Pseudaminic acid cytidylyltransferase
EC:2.7.7.82,"CMP-N,N'-diacetyllegionaminic acid synthase"
EC:2.7.7.83,UDP-N-acetylgalactosamine diphosphorylase
EC:2.7.7.85,Diadenylate cyclase
EC:2.7.7.87,L-threonylcarbamoyladenylate synthase
EC:2.7.7.9,UTP--glucose-1-phosphate uridylyltransferase
EC:2.7.8.1,Ethanolaminephosphotransferase
EC:2.7.8.11,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
EC:2.7.8.12,CDP-glycerol glycerophosphotransferase
EC:2.7.8.13,Phospho-N-acetylmuramoyl-pentapeptide-transferase
EC:2.7.8.14,CDP-ribitol ribitolphosphotransferase
EC:2.7.8.15,N-acetylglucosaminephosphotransferase
EC:2.7.8.20,Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase
EC:2.7.8.24,Phosphatidylcholine synthase
EC:2.7.8.26,Adenosylcobinamide-GDP ribazoletransferase
EC:2.7.8.28,2-phospho-L-lactate transferase
EC:2.7.8.31,Undecaprenyl-phosphate glucose phosphotransferase
EC:2.7.8.33,N-acetylglucosaminephosphotransferase
EC:2.7.8.34,CDP-L-myo-inositol myo-inositolphosphotransferase
EC:2.7.8.36,transferase
EC:2.7.8.37,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase
EC:2.7.8.38,Archaetidylserine synthase
EC:2.7.8.39,Archaetidylinositol phosphate synthase
EC:2.7.8.41,Cardiolipin synthase (CMP-forming)
EC:2.7.8.5,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
EC:2.7.8.6,Undecaprenyl-phosphate galactose phosphotransferase
EC:2.7.8.7,Holo-[acyl-carrier-protein] synthase
EC:2.7.8.8,CDP-diacylglycerol--serine O-phosphatidyltransferase
EC:2.7.9.1,"Pyruvate, phosphate dikinase"
EC:2.7.9.2,"Pyruvate, water dikinase"
EC:2.7.9.3,"Selenide, water dikinase"
EC:2.8.1.1,Thiosulfate sulfurtransferase
EC:2.8.1.10,Thiazole synthase
EC:2.8.1.12,Molybdopterin synthase
EC:2.8.1.2,3-mercaptopyruvate sulfurtransferase
EC:2.8.1.6,Biotin synthase
EC:2.8.1.7,Cysteine desulfurase
EC:2.8.1.8,Lipoyl synthase
EC:2.8.2.1,Aryl sulfotransferase
EC:2.8.2.22,Aryl-sulfate sulfotransferase
EC:2.8.3.1,Propionate CoA-transferase
EC:2.8.3.10,Citrate CoA-transferase
EC:2.8.3.12,Glutaconate CoA-transferase
EC:2.8.3.13,Succinate--hydroxymethylglutarate CoA-transferase
EC:2.8.3.15,Succinyl-CoA:(R)-benzylsuccinate CoA-transferase
EC:2.8.3.16,Formyl-CoA transferase
EC:2.8.3.17,Cinnamoyl-CoA:phenyllactate CoA-transferase
EC:2.8.3.18,Succinyl-CoA:acetate CoA-transferase
EC:2.8.3.19,CoA:oxalate CoA-transferase
EC:2.8.3.20,Succinyl-CoA--D-citramalate CoA-transferase
EC:2.8.3.21,L-carnitine CoA-transferase
EC:2.8.3.22,Succinyl-CoA--L-malate CoA-transferase
EC:2.8.3.5,3-oxoacid CoA-transferase
EC:2.8.3.6,3-oxoadipate CoA-transferase
EC:2.8.3.8,Acetate CoA-transferase
EC:2.8.3.9,Butyrate--acetoacetate CoA-transferase
EC:2.8.4.1,Coenzyme-B sulfoethylthiotransferase
EC:2.8.4.2,Arsenate-mycothiol transferase
EC:2.8.4.3,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
EC:2.8.4.4,[Ribosomal protein S12] (aspartate(89)-C(3))-methylthiotransferase
EC:2.8.4.5,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
EC:2.9.1.1,L-seryl-tRNA(Sec) selenium transferase
EC:3.1.1.1,Carboxylesterase
EC:3.1.1.11,Pectinesterase
EC:3.1.1.15,L-arabinonolactonase
EC:3.1.1.17,Gluconolactonase
EC:3.1.1.22,Hydroxybutyrate-dimer hydrolase
EC:3.1.1.24,3-oxoadipate enol-lactonase
EC:3.1.1.27,4-pyridoxolactonase
EC:3.1.1.29,Aminoacyl-tRNA hydrolase
EC:3.1.1.3,Triacylglycerol lipase
EC:3.1.1.31,6-phosphogluconolactonase
EC:3.1.1.32,Phospholipase A(1)
EC:3.1.1.4,Phospholipase A(2)
EC:3.1.1.41,Cephalosporin-C deacetylase
EC:3.1.1.45,Carboxymethylenebutenolidase
EC:3.1.1.5,Lysophospholipase
EC:3.1.1.53,Sialate O-acetylesterase
EC:3.1.1.57,"2-pyrone-4,6-dicarboxylate lactonase"
EC:3.1.1.61,Protein-glutamate methylesterase
EC:3.1.1.73,Feruloyl esterase
EC:3.1.1.74,Cutinase
EC:3.1.1.75,Poly(3-hydroxybutyrate) depolymerase
EC:3.1.1.81,Quorum-quenching N-acyl-homoserine lactonase
EC:3.1.1.85,Pimeloyl-[acyl-carrier protein] methyl ester esterase
EC:3.1.1.96,D-aminoacyl-tRNA deacylase
EC:3.1.11.1,Exodeoxyribonuclease I
EC:3.1.11.2,Exodeoxyribonuclease III
EC:3.1.11.3,Exodeoxyribonuclease (lambda-induced)
EC:3.1.11.5,Exodeoxyribonuclease V
EC:3.1.11.6,Exodeoxyribonuclease VII
EC:3.1.12.1,5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming)
EC:3.1.13.1,Exoribonuclease II
EC:3.1.13.3,Oligonucleotidase
EC:3.1.13.5,Ribonuclease D
EC:3.1.2.1,Acetyl-CoA hydrolase
EC:3.1.2.12,S-formylglutathione hydrolase
EC:3.1.2.20,Acyl-CoA hydrolase
EC:3.1.2.21,Dodecanoyl-[acyl-carrier-protein] hydrolase
EC:3.1.2.23,4-hydroxybenzoyl-CoA thioesterase
EC:3.1.2.25,Phenylacetyl-CoA hydrolase
EC:3.1.2.26,Bile-acid-CoA hydrolase
EC:3.1.2.28,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
EC:3.1.2.29,Fluoroacetyl-CoA thioesterase
EC:3.1.2.30,(3S)-malyl-CoA thioesterase
EC:3.1.2.4,3-hydroxyisobutyryl-CoA hydrolase
EC:3.1.2.6,Hydroxyacylglutathione hydrolase
EC:3.1.21.1,Deoxyribonuclease I
EC:3.1.21.2,Deoxyribonuclease IV
EC:3.1.21.3,Type I site-specific deoxyribonuclease
EC:3.1.21.4,Type II site-specific deoxyribonuclease
EC:3.1.21.5,Type III site-specific deoxyribonuclease
EC:3.1.21.7,Deoxyribonuclease V
EC:3.1.22.1,Deoxyribonuclease II
EC:3.1.22.4,Crossover junction endodeoxyribonuclease
EC:3.1.26.11,Ribonuclease Z
EC:3.1.26.12,Ribonuclease E
EC:3.1.26.3,Ribonuclease III
EC:3.1.26.4,Ribonuclease H
EC:3.1.26.5,Ribonuclease P
EC:3.1.26.8,Ribonuclease M5
EC:3.1.27.1,Ribonuclease T(2)
EC:3.1.27.3,Ribonuclease T(1)
EC:3.1.27.6,Enterobacter ribonuclease
EC:3.1.27.9,Transferred entry: 4.6.1.16
EC:3.1.3.1,Alkaline phosphatase
EC:3.1.3.10,Glucose-1-phosphatase
EC:3.1.3.11,Fructose-bisphosphatase
EC:3.1.3.12,Trehalose-phosphatase
EC:3.1.3.15,Histidinol-phosphatase
EC:3.1.3.16,Protein-serine/threonine phosphatase
EC:3.1.3.18,Phosphoglycolate phosphatase
EC:3.1.3.2,Acid phosphatase
EC:3.1.3.23,Sugar-phosphatase
EC:3.1.3.25,Inositol-phosphate phosphatase
EC:3.1.3.26,4-phytase
EC:3.1.3.27,Phosphatidylglycerophosphatase
EC:3.1.3.3,Phosphoserine phosphatase
EC:3.1.3.37,Sedoheptulose-bisphosphatase
EC:3.1.3.39,Streptomycin-6-phosphatase
EC:3.1.3.4,Phosphatidate phosphatase
EC:3.1.3.41,4-nitrophenylphosphatase
EC:3.1.3.45,3-deoxy-manno-octulosonate-8-phosphatase
EC:3.1.3.48,Protein-tyrosine-phosphatase
EC:3.1.3.5,5'-nucleotidase
EC:3.1.3.6,3'-nucleotidase
EC:3.1.3.7,"3'(2'),5'-bisphosphate nucleotidase"
EC:3.1.3.70,Mannosyl-3-phosphoglycerate phosphatase
EC:3.1.3.71,2-phosphosulfolactate phosphatase
EC:3.1.3.73,Adenosylcobalamin/alpha-ribazole phosphatase
EC:3.1.3.77,Acireductone synthase
EC:3.1.3.78,"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase"
EC:3.1.3.79,Mannosylfructose-phosphate phosphatase
EC:3.1.3.8,3-phytase
EC:3.1.3.81,Diacylglycerol diphosphate phosphatase
